start,Strategy,XIRR,Worst wealth drop
1983-02,Equity SIP,0.2967652413347238,-0.2411678575606938
1983-02,Equal-weight SIP,0.24137802409767248,-0.07477117758597918
1983-02,60/20/20 annual rebal,0.2560031774334095,-0.14012947287248756
1983-02,Risk-parity SIP,0.23957120646883256,-0.05624918914951604
1983-02,Max-Sharpe SIP,0.2550785906804816,-0.0601390179926522
1983-02,Optimized SIP,0.2471622500993896,-0.058195843375312806
1983-03,Equity SIP,0.30241532952882927,-0.24029699301349983
1983-03,Equal-weight SIP,0.24814462813807114,-0.07343940753894129
1983-03,60/20/20 annual rebal,0.26208597785744303,-0.1372529030581885
1983-03,Risk-parity SIP,0.2458243772420493,-0.05526795413976271
1983-03,Max-Sharpe SIP,0.26303264979135454,-0.05908800067618947
1983-03,Optimized SIP,0.2540008753514165,-0.05706238904688843
1983-04,Equity SIP,0.31397817576222103,-0.2394014427024419
1983-04,Equal-weight SIP,0.26011517935698586,-0.07210264047806192
1983-04,60/20/20 annual rebal,0.27324648255560435,-0.13228947145380765
1983-04,Risk-parity SIP,0.25730943652093874,-0.05425784187809268
1983-04,Max-Sharpe SIP,0.2757086153069645,-0.057998853997366595
1983-04,Optimized SIP,0.2660731068693586,-0.05595933579944612
1983-05,Equity SIP,0.3058706708964692,-0.23848909901280346
1983-05,Equal-weight SIP,0.2555264747317352,-0.07083932834257367
1983-05,60/20/20 annual rebal,0.26806167188437086,-0.12981751425283816
1983-05,Risk-parity SIP,0.25445607935100295,-0.05319571457430616
1983-05,Max-Sharpe SIP,0.2717455324252547,-0.05683732509727302
1983-05,Optimized SIP,0.2625907205924675,-0.05486872963521594
1983-06,Equity SIP,0.30365898665627583,-0.2375605347675135
1983-06,Equal-weight SIP,0.2553761027173016,-0.06958461749406641
1983-06,60/20/20 annual rebal,0.2687194188426948,-0.130413160651203
1983-06,Risk-parity SIP,0.2566782072785133,-0.052109694043607435
1983-06,Max-Sharpe SIP,0.2704425680353812,-0.05564002496156539
1983-06,Optimized SIP,0.2630908640095343,-0.05378548079696277
1983-07,Equity SIP,0.3021143925784329,-0.23661731484130433
1983-07,Equal-weight SIP,0.2546750603223906,-0.06835401565793098
1983-07,60/20/20 annual rebal,0.2683834292522116,-0.13005047044375584
1983-07,Risk-parity SIP,0.2561855631292267,-0.05099146138874944
1983-07,Max-Sharpe SIP,0.26985189935503756,-0.05439458212398751
1983-07,Optimized SIP,0.2625406970263794,-0.05266736462822352
1983-08,Equity SIP,0.29838029972036373,-0.23563942680214844
1983-08,Equal-weight SIP,0.25427271831335724,-0.06714328543562731
1983-08,60/20/20 annual rebal,0.26742000077208006,-0.12649970465670868
1983-08,Risk-parity SIP,0.25753974347365793,-0.04980258226747203
1983-08,Max-Sharpe SIP,0.26954939328550587,-0.053095918150826926
1983-08,Optimized SIP,0.2630251522715964,-0.05147377759831784
1983-09,Equity SIP,0.29822112007867907,-0.23461209479527434
1983-09,Equal-weight SIP,0.25252915114531777,-0.06591198777276819
1983-09,60/20/20 annual rebal,0.2654392564190323,-0.12389115054240529
1983-09,Risk-parity SIP,0.2540293617120311,-0.04853513257476294
1983-09,Max-Sharpe SIP,0.2684059850250966,-0.05184644265113847
1983-09,Optimized SIP,0.2606424816099335,-0.050195955742458276
1983-10,Equity SIP,0.2969135825536507,-0.23350286163302736
1983-10,Equal-weight SIP,0.2501702289609475,-0.064557830128813
1983-10,60/20/20 annual rebal,0.2641520220444023,-0.11939701019990823
1983-10,Risk-parity SIP,0.2489908927252913,-0.04719376518017049
1983-10,Max-Sharpe SIP,0.2679651487835865,-0.05048199135896547
1983-10,Optimized SIP,0.25786028067771,-0.04884941242656704
1983-11,Equity SIP,0.2952354572616025,-0.23236023975684927
1983-11,Equal-weight SIP,0.24888855369647764,-0.06319681965073465
1983-11,60/20/20 annual rebal,0.2633402750535946,-0.11952984135538458
1983-11,Risk-parity SIP,0.24757914480331636,-0.04580103592321361
1983-11,Max-Sharpe SIP,0.2661002423994194,-0.04905708539858222
1983-11,Optimized SIP,0.25657843343918924,-0.04744939361016076
1983-12,Equity SIP,0.2912548841467756,-0.23115306063572227
1983-12,Equal-weight SIP,0.244405978494497,-0.06178236843251528
1983-12,60/20/20 annual rebal,0.2584092356011372,-0.13032787306385474
1983-12,Risk-parity SIP,0.24414997724892767,-0.044330094433260525
1983-12,Max-Sharpe SIP,0.25971997060165414,-0.047552820405361795
1983-12,Optimized SIP,0.25179069942548526,-0.04596987973352473
1984-01,Equity SIP,0.2892991179262514,-0.22986749829268893
1984-01,Equal-weight SIP,0.24285401904762455,-0.06028325397934009
1984-01,60/20/20 annual rebal,0.2564375291751573,-0.13134256967214608
1984-01,Risk-parity SIP,0.24315203665060678,-0.04277506931515518
1984-01,Max-Sharpe SIP,0.2574197499556878,-0.04597104120802309
1984-01,Optimized SIP,0.25018227421332534,-0.04440506820193235
1984-02,Equity SIP,0.28881916774420086,-0.22850464944676063
1984-02,Equal-weight SIP,0.24183215892162546,-0.058691250353904434
1984-02,60/20/20 annual rebal,0.25612743563373647,-0.12913264045582185
1984-02,Risk-parity SIP,0.2419849327284582,-0.041140667091020044
1984-02,Max-Sharpe SIP,0.2558295095299731,-0.04431324031548112
1984-02,Optimized SIP,0.24884313493293272,-0.04276295729769475
1984-03,Equity SIP,0.2851341425315094,-0.22709810295194077
1984-03,Equal-weight SIP,0.23741430758026702,-0.057083064103131465
1984-03,60/20/20 annual rebal,0.2520000579409381,-0.12579832802776236
1984-03,Risk-parity SIP,0.23723239729509363,-0.039444731434203795
1984-03,Max-Sharpe SIP,0.2508152227241617,-0.04258833424854647
1984-03,Optimized SIP,0.2440458299774039,-0.04105746517011932
1984-04,Equity SIP,0.27840451321252124,-0.22578389326896642
1984-04,Equal-weight SIP,0.2307507083265959,-0.055194143206010016
1984-04,60/20/20 annual rebal,0.24523456036226338,-0.12031222782087847
1984-04,Risk-parity SIP,0.23136039634824543,-0.037623972506137915
1984-04,Max-Sharpe SIP,0.24318184164478135,-0.04073376838855014
1984-04,Optimized SIP,0.23717575580472267,-0.03922501560899483
1984-05,Equity SIP,0.2680290516154583,-0.22455878881906566
1984-05,Equal-weight SIP,0.2218735198404319,-0.05318324256050366
1984-05,60/20/20 annual rebal,0.23605528089747344,-0.11721831809588878
1984-05,Risk-parity SIP,0.22301653966398496,-0.042283096492048644
1984-05,Max-Sharpe SIP,0.23437218205273128,-0.05374969038923916
1984-05,Optimized SIP,0.22876303091713,-0.04864170314237648
1984-06,Equity SIP,0.2659339369568835,-0.2232535756192564
